ARCHIVO,LINEA,VARIABLE_ACCESO,VARIABLE,MODULO,CONTEXTO,CODIGO_EXACTO
D_clasificacion.php,155,session()->get(),id,ADMIN,Crear clasificación,"'clasificado_por' => session()->get('id'),"
D_clasificacion.php,239,session()->get(),id,ADMIN,Cargar clasificación,"'cargado_por' => session()->get('id'),"
D_clasificacion.php,334,session()->get(),id,ADMIN,Usuario creador,"'usuario_creador' => session()->get('id'),"
BackofficeNew/ContractsController.php,21,session()->get(),id,BACKOFFICE,Obtener ID cliente,$customer_id = session()->get('id');
PagosController.php,237,session()->get(),user_name,NO_CAT,Usuario creación,"'usuario_creacion' => session()->get('user_name') ?? 'vendedor_sistema'"
D_facturas.php,478,session()->get(),user_name,ADMIN,Usuario creación,"'usuario_creacion' => session()->get('user_name') ?? 'vendedor_sistema'"
D_facturas.php,574,session()->get(),user_name,ADMIN,Usuario creación,"'usuario_creacion' => session()->get('user_name') ?? 'vendedor_sistema'"
D_usuarios.php,21,$_SESSION[],id,ADMIN,Obtener ID,"$id = isset($_SESSION['id']) ? $_SESSION['id'] : null;"
D_transfer.php,69,$_SESSION[],id,ADMIN,Transfer,"$id = $_SESSION['id'];"
D_supplier.php,48,$_SESSION[],id,ADMIN,Proveedor,"$id = $_SESSION['id'];"
D_panel.php,21,$_SESSION[],id,ADMIN,Panel,"$id = $_SESSION['id'];"
D_panel.php,274,$_SESSION[],id,ADMIN,Obtener cliente,"isset($_SESSION['id'])"
D_panel.php,275,$_SESSION[],id,ADMIN,Obtener cliente,"$obj_customer = $Customer->get_data_by_id($_SESSION['id']);"
D_panel.php,414,$_SESSION[],id,ADMIN,Panel,"$id = $_SESSION['id'];"
D_periodos.php,59,$_SESSION[],id,ADMIN,Periodos,"$id = $_SESSION['id'];"
D_pago_tienda.php,92,$_SESSION[],id,ADMIN,Pago tienda,"$id = $_SESSION['id'];"
D_outgoing.php,100,$_SESSION[],id,ADMIN,Egreso,"$id = $_SESSION['id'];"
D_incoming.php,105,$_SESSION[],id,ADMIN,Ingreso,"$id = $_SESSION['id'];"
D_incoming.php,226,$_SESSION[],id,ADMIN,Ingreso,"'user_id' => $_SESSION['id'],"
Inmueble.php,2336,$_SESSION[],id,NO_CAT,Patrocinador,"$patrocinadorId = $this->request->getPost('sponsor_id') ?? ($_SESSION['id'] ?? null);"
admin/contracts.php,670,$_SESSION[],id,ADMIN,Verificar usuario,"$userId = isset($_SESSION['id']) ? $_SESSION['id'] : null;"
D_usuarios.php,23,$_SESSION[],first_name,ADMIN,Nombre usuario,"isset($_SESSION['first_name'])"
D_usuarios.php,24,$_SESSION[],first_name + last_name,ADMIN,Nombre usuario,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_transfer.php,17,$_SESSION[],first_name + last_name,ADMIN,Transfer,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_transfer.php,36,$_SESSION[],first_name + last_name,ADMIN,Transfer,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_ticket.php,21,$_SESSION[],first_name + last_name,ADMIN,Ticket,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_ticket.php,49,$_SESSION[],first_name + last_name,ADMIN,Ticket,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_supplier.php,12,$_SESSION[],first_name + last_name,ADMIN,Proveedor,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_supplier.php,27,$_SESSION[],first_name + last_name,ADMIN,Proveedor,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_sugerencias.php,42,$_SESSION[],first_name + last_name,ADMIN,Sugerencias,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
